latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
48.5828,-72.324611,015,026,6554,4886,2025-01-24,1543,L9,L,D
48.857018,-72.266249,015,026,6661,3865,2025-01-24,1543,L9,H,D
48.857288,-72.266235,015,026,6661,3864,2025-01-24,1543,L9,L,D
45.034932,-73.894784,015,028,5509,7593,2025-01-24,1544,L9,H,D
45.034935,-73.895165,015,028,5508,7593,2025-01-24,1544,L9,H,D
45.035202,-73.894779,015,028,5509,7592,2025-01-24,1544,L9,H,D
45.035205,-73.895159,015,028,5508,7592,2025-01-24,1544,L9,H,D
45.035472,-73.894773,015,028,5509,7591,2025-01-24,1544,L9,L,D
45.035475,-73.895154,015,028,5508,7591,2025-01-24,1544,L9,L,D
45.037669,-73.89854,015,028,5499,7583,2025-01-24,1544,L9,H,D
45.037672,-73.898921,015,028,5498,7583,2025-01-24,1544,L9,L,D
45.037939,-73.898535,015,028,5499,7582,2025-01-24,1544,L9,H,D
45.189314,-73.659606,015,028,6117,7012,2025-01-24,1544,L9,H,D
45.229023,-74.338923,015,028,4337,6887,2025-01-24,1544,L9,L,D
45.241753,-74.573858,015,028,3722,6844,2025-01-24,1544,L9,H,D
45.242023,-74.573856,015,028,3722,6843,2025-01-24,1544,L9,L,D
45.304388,-74.99241,015,028,2627,6615,2025-01-24,1544,L9,H,D
45.304388,-74.992028,015,028,2628,6615,2025-01-24,1544,L9,H,D
45.559046,-73.618168,015,028,6202,5641,2025-01-24,1544,L9,L,D
45.627187,-73.497188,015,028,6512,5383,2025-01-24,1544,L9,H,D
45.648917,-73.682566,015,028,6029,5311,2025-01-24,1544,L9,L,D
45.668617,-74.434675,015,028,4075,5261,2025-01-24,1544,L9,L,D
45.741206,-73.677312,015,028,6037,4969,2025-01-24,1544,L9,H,D
45.74121,-73.677698,015,028,6036,4969,2025-01-24,1544,L9,H,D
45.74148,-73.677691,015,028,6036,4968,2025-01-24,1544,L9,L,D
45.757046,-73.71667,015,028,5934,4912,2025-01-24,1544,L9,H,D
45.75705,-73.717056,015,028,5933,4912,2025-01-24,1544,L9,H,D
45.774105,-73.902654,015,028,5451,4856,2025-01-24,1544,L9,H,D
45.781483,-73.911772,015,028,5427,4829,2025-01-24,1544,L9,L,D
45.781753,-73.911766,015,028,5427,4828,2025-01-24,1544,L9,H,D
45.902683,-74.201409,015,028,4672,4389,2025-01-24,1544,L9,M,D
40.762065,-75.500513,015,031,5249,7645,2025-01-24,1545,L9,L,D
40.85771,-75.263104,015,031,5918,7294,2025-01-24,1545,L9,H,D
40.857711,-75.262748,015,031,5919,7294,2025-01-24,1545,L9,H,D
40.857981,-75.262749,015,031,5919,7293,2025-01-24,1545,L9,L,D
40.893745,-75.219086,015,031,6042,7161,2025-01-24,1545,L9,H,D
40.894016,-75.219087,015,031,6042,7160,2025-01-24,1545,L9,H,D
41.002395,-75.214094,015,031,6057,6759,2025-01-24,1545,L9,H,D
41.049933,-76.897723,015,031,1341,6526,2025-01-24,1545,L9,H,D
41.050203,-76.897731,015,031,1341,6525,2025-01-24,1545,L9,H,D
41.055518,-75.10038,015,031,6376,6563,2025-01-24,1545,L9,H,D
41.083668,-76.799409,015,031,1619,6407,2025-01-24,1545,L9,M,D
41.083673,-76.799052,015,031,1620,6407,2025-01-24,1545,L9,H,D
41.105191,-76.717113,015,031,1851,6332,2025-01-24,1545,L9,H,D
41.148797,-76.366472,015,031,2835,6188,2025-01-24,1545,L9,H,D
41.149067,-76.366477,015,031,2835,6187,2025-01-24,1545,L9,H,D
41.231925,-77.047587,015,031,937,5843,2025-01-24,1545,L9,H,D
41.381689,-75.105903,015,031,6362,5356,2025-01-24,1545,L9,L,D
41.391291,-75.986511,015,031,3908,5305,2025-01-24,1545,L9,L,D
41.39371,-75.735352,015,031,4608,5303,2025-01-24,1545,L9,L,D
41.393713,-75.734993,015,031,4609,5303,2025-01-24,1545,L9,H,D
41.393983,-75.734997,015,031,4609,5302,2025-01-24,1545,L9,H,D
41.444082,-75.759982,015,031,4541,5116,2025-01-24,1545,L9,L,D
41.444352,-75.759986,015,031,4541,5115,2025-01-24,1545,L9,H,D
41.564235,-77.019552,015,031,1044,4615,2025-01-24,1545,L9,H,D
41.62784,-75.571978,015,031,5069,4440,2025-01-24,1545,L9,H,D
41.649774,-75.709075,015,031,4689,4356,2025-01-24,1545,L9,L,D
41.650044,-75.709078,015,031,4689,4355,2025-01-24,1545,L9,L,D
41.707486,-76.208404,015,031,3306,4127,2025-01-24,1545,L9,L,D
41.738977,-75.60904,015,031,4969,4028,2025-01-24,1545,L9,H,D
41.75266,-75.144399,015,031,6257,3983,2025-01-24,1545,L9,L,D
42.272908,-75.424979,015,030,4119,7315,2025-01-24,1545,L9,L,D
42.272908,-75.424979,015,031,5489,2055,2025-01-24,1545,L9,L,D
42.57763,-76.862959,015,030,191,6134,2025-01-24,1545,L9,H,D
42.57763,-76.862959,015,031,1561,874,2025-01-24,1545,L9,H,D
42.577636,-76.862594,015,030,192,6134,2025-01-24,1545,L9,H,D
42.577636,-76.862594,015,031,1562,874,2025-01-24,1545,L9,H,D
44.887116,-75.363999,015,029,2979,2898,2025-01-24,1545,L9,L,D
44.887656,-75.364003,015,029,2979,2896,2025-01-24,1545,L9,H,D
44.930058,-74.90654,015,029,4183,2741,2025-01-24,1545,L9,H,D
45.004757,-75.467143,015,029,2710,2461,2025-01-24,1545,L9,L,D
45.034932,-73.894784,015,029,6839,2333,2025-01-24,1545,L9,H,D
45.034935,-73.895165,015,029,6838,2333,2025-01-24,1545,L9,H,D
45.035202,-73.894779,015,029,6839,2332,2025-01-24,1545,L9,H,D
45.035205,-73.895159,015,029,6838,2332,2025-01-24,1545,L9,H,D
45.035472,-73.894773,015,029,6839,2331,2025-01-24,1545,L9,H,D
45.035475,-73.895154,015,029,6838,2331,2025-01-24,1545,L9,L,D
45.037669,-73.89854,015,029,6829,2323,2025-01-24,1545,L9,H,D
45.037939,-73.898535,015,029,6829,2322,2025-01-24,1545,L9,H,D
45.14888,-76.049536,015,029,1187,1913,2025-01-24,1545,L9,L,D
45.189314,-73.659606,015,029,7447,1752,2025-01-24,1545,L9,H,D
